OnsetTime	OffsetTime	MidiPitch
0.564981	0.659985	49
0.565987	0.662989	61
0.659985	1.61499	49
0.662989	1.61598	61
1.65998	1.75398	54
1.66398	1.75198	66
1.75198	2.76897	66
1.75398	2.76897	54
2.75198	2.84396	52
2.75498	2.84396	64
2.84396	3.34398	52
2.84396	3.34398	64
3.32298	3.41798	51
3.32298	3.41998	63
3.41798	3.92096	51
3.41998	3.92096	63
3.89696	3.99396	49
3.89696	3.99497	61
3.99896	4.47796	49
3.99896	4.47796	61
4.45696	4.54796	48
4.45795	4.54796	60
4.54896	5.06895	48
4.55096	5.06895	60
5.04095	5.14594	49
5.04395	5.14594	61
5.14695	5.54194	49
5.14995	5.54194	61
5.93394	6.13393	46
5.93793	6.13694	31
6.04193	6.22194	49
6.04293	6.22494	40
6.13393	6.31494	46
6.13694	6.31594	31
6.22194	6.40694	49
6.22494	6.40694	40
6.31494	6.49394	46
6.31594	6.49495	31
6.40694	6.58194	49
6.40694	6.58495	40
6.49394	6.67495	46
6.49495	6.67594	31
6.58194	6.76095	49
6.58495	6.76295	40
6.67495	6.84896	46
6.67594	6.85096	31
6.76095	6.93496	49
6.76295	6.93496	40
6.84896	7.02297	46
6.85096	7.02297	31
6.93496	7.11097	49
6.93496	7.11297	40
7.02297	7.19196	46
7.02297	7.19396	31
7.11097	7.22196	49
7.11297	7.22196	40
7.19196	7.27397	46
7.19396	7.27696	31
7.27796	7.35797	49
7.27796	7.35897	40
7.35897	7.48397	46
7.36197	7.44598	31
7.44598	7.52697	49
7.44697	7.52697	40
7.52796	7.69096	46
7.52997	7.69196	31
7.60997	7.77196	49
7.61097	7.77495	40
7.69096	7.85295	46
7.69196	7.85595	31
7.77196	7.93295	49
7.77495	7.93394	40
7.85295	8.00994	46
7.85595	8.01293	31
7.93295	8.09094	49
7.93394	8.09294	40
8.00994	8.16794	46
8.01293	8.16794	31
8.09094	8.24793	49
8.09294	8.24993	40
8.16794	8.32892	46
8.16794	8.33092	31
8.24793	8.40791	49
8.24993	8.40892	40
8.32892	8.48892	46
8.33092	8.49291	31
8.40791	8.5069	49
8.40892	8.5069	40
8.48892	8.65391	46
8.49291	8.6569	31
8.5719	8.7349	49
8.5729	8.7369	40
8.65391	8.81789	46
8.6569	8.81889	31
8.7349	8.89189	49
8.7369	8.89189	40
8.81789	8.97288	46
8.81889	8.97588	31
8.89189	9.05288	49
8.89189	9.05587	40
8.97288	9.13688	46
8.97588	9.13688	31
9.05288	9.21687	49
9.05587	9.21787	40
9.13688	9.30086	46
9.13688	9.30187	31
9.21687	9.38587	49
9.21787	9.38587	40
9.30086	9.47286	46
9.30187	9.47286	31
9.38587	9.47286	49
9.38587	9.47286	40
9.52386	9.62286	45
9.52487	9.62387	48
9.52487	9.62387	31
9.52586	9.62387	39
9.62586	9.91586	46
9.62686	9.91686	49
9.62686	9.91986	31
9.62986	9.91986	40
11.9078	11.9989	68
11.9089	11.9969	56
11.9969	12.9338	56
11.9989	12.9369	68
12.9828	13.0708	61
12.9828	13.0728	73
13.0708	14.0948	61
13.0728	14.0948	73
14.0848	14.1798	59
14.0858	14.1828	71
14.1798	14.6768	59
14.1828	14.6768	71
14.6558	14.7468	58
14.6558	14.7508	70
14.7468	15.2468	58
14.7508	15.2468	70
15.2228	15.3138	56
15.2238	15.3168	68
15.3178	15.8038	56
15.3178	15.8038	68
15.7788	15.8668	67
15.7798	15.8678	55
15.8678	16.3908	55
15.8698	16.3908	67
16.3668	16.4648	56
16.3678	16.4658	68
16.4658	16.8008	56
16.4688	16.8018	68
17.1368	17.3338	50
17.1408	17.3338	47
17.1418	17.3348	29
17.2428	17.4278	56
17.2428	17.4288	38
17.3338	17.5188	50
17.3338	17.5188	47
17.3348	17.5198	29
17.4278	17.6098	56
17.4288	17.6108	38
17.5188	17.6978	50
17.5188	17.7008	47
17.5198	17.7018	29
17.6098	17.7928	56
17.6108	17.7948	38
17.6978	17.8868	50
17.7008	17.8868	47
17.7018	17.8878	29
17.7928	17.9738	56
17.7948	17.9738	38
17.8868	18.0618	50
17.8868	18.0648	47
17.8878	18.0658	29
17.9738	18.1498	56
17.9738	18.1518	38
18.0618	18.2368	50
18.0648	18.2398	47
18.0658	18.2398	29
18.1498	18.3268	56
18.1518	18.3278	38
18.2368	18.4178	50
18.2398	18.4188	47
18.2398	18.4218	29
18.3268	18.5058	56
18.3278	18.5098	38
18.4178	18.5938	50
18.4188	18.5948	47
18.4218	18.5948	29
18.5058	18.6708	56
18.5098	18.6748	38
18.5938	18.7468	50
18.5948	18.7468	47
18.5948	18.7468	29
18.6708	18.7578	56
18.6748	18.7578	38
18.7608	18.9298	50
18.7608	18.9298	47
18.7618	18.9308	29
18.8488	19.0178	56
18.8488	19.0198	38
18.9298	19.0968	50
18.9298	19.0978	47
18.9308	19.1008	29
19.0178	19.1778	56
19.0198	19.1788	38
19.0968	19.2588	50
19.0978	19.2618	47
19.1008	19.2618	29
19.1778	19.3358	56
19.1788	19.3398	38
19.2588	19.4098	50
19.2618	19.4118	47
19.2618	19.4128	29
19.3358	19.4928	56
19.3398	19.4937	38
19.4098	19.5667	50
19.4118	19.5697	47
19.4128	19.5697	29
19.4928	19.6477	56
19.4937	19.6497	38
19.5667	19.7307	50
19.5697	19.7317	47
19.5697	19.7317	29
19.6477	19.7447	56
19.6497	19.7447	38
19.7307	19.8987	50
19.7317	19.8997	47
19.7317	19.9017	29
19.8187	19.9797	56
19.8197	19.9837	38
19.8987	20.0607	50
19.8997	20.0617	47
19.9017	20.0627	29
19.9797	20.1407	56
19.9837	20.1437	38
20.0607	20.2177	50
20.0617	20.2177	47
20.0627	20.2197	29
20.1407	20.2997	56
20.1437	20.3017	38
20.2177	20.3747	50
20.2177	20.3757	47
20.2197	20.3757	29
20.2997	20.4517	56
20.3017	20.4517	38
20.3747	20.5297	50
20.3757	20.5327	47
20.3757	20.5327	29
20.4517	20.6116	56
20.4517	20.6127	38
20.5297	20.6996	50
20.5327	20.6996	47
20.5327	20.6996	29
20.6116	20.6996	56
20.6127	20.6996	38
20.6927	20.8266	49
20.6936	20.7777	55
20.6966	20.7807	37
20.6966	20.7807	28
20.7316	20.8266	46
20.8266	21.0916	47
20.8286	21.0916	50
20.8296	21.0956	56
20.8296	21.0956	29
20.8306	21.0966	38
23.0236	23.1366	56
23.1366	23.8686	56
23.7906	24.8577	40
23.8216	24.8577	47
23.8436	24.8577	50
23.8686	24.8577	56
23.8886	24.8577	62
23.9166	24.8577	68
23.9406	24.8577	71
23.9656	24.8577	76
24.6197	24.8577	57
24.7146	24.8577	59
24.8056	26.3247	52
25.4917	26.5627	40
25.5127	26.5627	47
25.5437	26.5627	50
25.5687	26.5627	56
25.5897	26.5627	62
25.6177	26.5627	68
25.6427	26.5627	71
25.6667	26.5627	76
26.3247	26.5627	52
26.5377	27.3087	54
27.2277	28.3127	40
27.2557	28.3127	47
27.2767	28.3127	50
27.3087	27.9597	54
27.3327	28.3127	62
27.3607	28.3127	66
27.3847	28.3127	69
27.4097	28.3127	76
27.7487	28.1627	57
27.8647	28.0607	56
27.9597	28.3127	54
28.0607	28.2607	56
28.1627	28.3127	57
28.2607	29.0267	56
28.9467	30.0767	40
28.9747	30.0767	47
28.9977	30.0767	50
29.0267	30.0767	56
29.0507	30.0767	62
29.0827	30.0767	68
29.1037	30.0767	71
29.1247	30.0767	76
29.7927	30.0767	52
30.0147	31.7637	61
